Date,Move,YesterdayMove,YesterdayMovement,Movement,Close,YesterdayClose,Volume, Open,High, Low,Earnings Call,Earnings Call Next,Sentiment,Sentiment5,Sentiment Next,5 Day Moving Average,10 Day Moving Average,LM_Positve,LM_Negative,LM_Polarity,LM_Subjectivity,GI_Positive,GI_Negative,GI_Polarity,GI_Subjectivity,Flesch,SMOG,Ticker,LPERMNO,LPERMCO,conm,actq,ciq,dd1q,dlttq,dpq,ltq,revtq,capxy,EPS_EST,EPS_ACTUAL,EPS_DIFF,BEAT_EPS,MISS_EPS,EBT_EST,EBT_ACTUAL,EBT_DIFF,BEAT_EBT,MISS_EBT,NET_EST,NET_ACTUAL,NET_DIFF,BEAT_NET,MISS_NET,OPR_EST,OPR_ACTUAL,OPR_DIFF,BEAT_OPR,MISS_OPR,YEAR
10/1/20,1,0,0.29,0.04,12.58,12.29,48841980,12.45,12.77,12.35,0,0,0,0,0,12.272,12.466,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/30/20,0,1,0.04,-0.51,12.29,12.25,65428130,12.32,12.92,12.22,0,0,0,0,0,12.2,12.617,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/29/20,1,1,-0.51,0.47,12.25,12.76,47209580,12.59,12.66,12.11,0,0,0,0,0,12.218,12.706,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/28/20,1,0,0.47,0.52,12.76,12.29,63558210,12.74,13.15,12.49,0,0,0,0,0,12.108,12.756,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/25/20,0,0,0.52,-0.16,12.29,11.77,43763990,11.76,12.31,11.71,0,0,0,0,0,12.288,12.822,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/24/20,0,1,-0.16,-0.41,11.77,11.93,49163170,11.74,12,11.22,0,0,0,0,0,12.66,12.946,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/23/20,1,0,-0.41,0.13,11.93,12.34,45292580,12.53,12.74,11.91,0,0,0,0,0,13.034,13.058,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/22/20,0,0,0.13,-0.98,12.34,12.21,33013430,12.3,12.5,12.18,0,0,0,0,0,13.194,13.187,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/21/20,0,0,-0.98,-0.44,12.21,13.19,60604450,12.82,12.98,12.08,0,0,0,0,0,13.404,13.327,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/18/20,0,1,-0.44,-0.17,13.19,13.63,56403560,13.51,13.59,13.03,0,0,0,0,0,13.356,13.344,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/17/20,1,0,-0.17,0.66,13.63,13.8,50194420,13.5,14.08,13.36,0,0,0,0,0,13.232,13.304,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/16/20,0,1,0.66,-0.12,13.8,13.14,75458870,13.21,13.96,12.98,0,0,0,0,0,13.082,13.234,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/15/20,1,0,-0.12,0.31,13.14,13.26,38958830,13.27,13.66,13.08,0,0,0,0,0,13.18,13.225,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/14/20,0,0,0.31,-0.06,13.26,12.95,39859100,13.02,13.29,12.9,0,0,0,0,0,13.25,13.258,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/11/20,0,0,-0.06,-0.04,12.95,13.01,43916720,13.08,13.08,12.68,0,0,0,0,0,13.332,13.291,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
