Date,Move,YesterdayMove,YesterdayMovement,Movement,Close,YesterdayClose,Volume, Open,High, Low,Earnings Call,Earnings Call Next,Sentiment,Sentiment5,Sentiment Next,5 Day Moving Average,10 Day Moving Average,LM_Positve,LM_Negative,LM_Polarity,LM_Subjectivity,GI_Positive,GI_Negative,GI_Polarity,GI_Subjectivity,Flesch,SMOG,Ticker,LPERMNO,LPERMCO,conm,actq,ciq,dd1q,dlttq,dpq,ltq,revtq,capxy,EPS_EST,EPS_ACTUAL,EPS_DIFF,BEAT_EPS,MISS_EPS,EBT_EST,EBT_ACTUAL,EBT_DIFF,BEAT_EBT,MISS_EBT,NET_EST,NET_ACTUAL,NET_DIFF,BEAT_NET,MISS_NET,OPR_EST,OPR_ACTUAL,OPR_DIFF,BEAT_OPR,MISS_OPR,YEAR
10/1/20,1,0,72.53,3.85,3221.26,3148.73,4971922,0,3224,0,0,0,0,0,0,3116.516,3371.364,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/30/20,0,1,3.85,-29.17,3148.73,3144.88,4896101,0,3212.88,0,0,0,0,0,0,3086.742,3372.104,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/29/20,1,1,-29.17,78.92,3144.88,3174.05,3503398,0,3188.26,0,0,0,0,0,0,3083.564,3367.913,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/28/20,1,1,78.92,75.34,3174.05,3095.13,4224165,0,3175.04,0,0,0,0,0,0,3040.848,3362.13,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/25/20,1,0,75.34,19.93,3095.13,3019.79,4615202,0,3101.54,0,0,0,0,0,0,3012.804,3370.128,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/24/20,0,1,19.93,-129.13,3019.79,2999.86,5529392,0,3069.3,0,0,0,0,0,0,3010.592,3395.01,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/23/20,1,1,-129.13,168.52,2999.86,3128.99,5652665,0,3127,0,0,0,0,0,0,3026.24,3410.008,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/22/20,1,0,168.52,5.56,3128.99,2960.47,6948816,0,3133.99,0,0,0,0,0,0,3031.668,3426.571,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/21/20,0,0,5.56,-53.82,2960.47,2954.91,6117925,0,2962,0,0,0,0,0,0,3060.168,3467.324,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/18/20,0,0,-53.82,-69.37,2954.91,3008.73,8892580,0,3037.8,0,0,0,0,0,0,3092.43,3524.978,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/17/20,0,1,-69.37,-78.03,3008.73,3078.1,6449050,0,3029.43,0,0,0,0,0,0,3125.706,3574.017,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/16/20,1,0,-78.03,53.16,3078.1,3156.13,4531189,0,3187.24,0,0,0,0,0,0,3163.808,3611.303,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/15/20,0,0,53.16,-13.25,3156.13,3102.97,4021535,0,3175.02,0,0,0,0,0,0,3162.55,3635.87,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/14/20,0,0,-13.25,-58.89,3102.97,3116.22,4529596,0,3187.39,0,0,0,0,0,0,3200.88,3665.573,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/11/20,0,1,-58.89,-93.5,3116.22,3175.11,5093982,0,3217.34,0,0,0,0,0,0,3251.236,3698.136,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/10/20,1,0,-93.5,118.77,3175.11,3268.61,5330741,0,3349.89,0,0,0,0,0,0,3322.504,3715.274,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/9/20,0,0,118.77,-144.78,3268.61,3149.84,5188675,0,3303.18,0,0,0,0,0,0,3368.606,3719.159,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/8/20,0,0,-144.78,-73.38,3149.84,3294.62,6094205,0,3250.85,0,0,0,0,0,0,3428.83,3732.647,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/4/20,0,1,-73.38,-163.45,3294.62,3368,8781754,0,3381.5,0,0,0,0,0,0,3450.266,3732.922,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/3/20,1,1,-163.45,32.33,3368,3531.45,8161113,0,3488.41,0,0,0,0,0,0,3456.666,3722.17,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/2/20,1,1,32.33,48.16,3531.45,3499.12,3931476,0,3552.25,0,0,0,0,0,0,3438.746,3700.274,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/1/20,1,1,48.16,49.16,3499.12,3450.96,3476407,0,3513.87,0,0,0,0,0,0,3408.22,3668.603,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/31/20,1,0,49.16,1.8,3450.96,3401.8,4185885,0,3495,0,0,0,0,0,0,3379.52,3638.309,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/28/20,0,1,1.8,-41.85,3401.8,3400,2896978,0,3433.37,0,0,0,0,0,0,3356.104,3614.231,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/27/20,1,1,-41.85,95.36,3400,3441.85,4264795,0,3453,0,0,0,0,0,0,3335.578,3590.455,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/26/20,1,1,95.36,39.03,3441.85,3346.49,6508743,0,3451.74,0,0,0,0,0,0,3299.304,3554.337,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/25/20,1,0,39.03,22.74,3346.49,3307.46,3992842,0,3357.4,0,0,0,0,0,0,3292.504,3534.504,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/24/20,0,1,22.74,-12.65,3307.46,3284.72,4666258,0,3380.32,0,0,0,0,0,0,3267.494,3520.504,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/21/20,1,0,-12.65,36.89,3284.72,3297.37,3575862,0,3314.4,0,0,0,0,0,0,3240.154,3514.532,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/20/20,0,1,36.89,-52.01,3297.37,3260.48,3332478,0,3312.62,0,0,0,0,0,0,3212.884,3505.298,0,0,0,0,0,0,0,0,0,0,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
