Date,Move,YesterdayMove,Movement,YesterdayMovement,Close,YesterdayClose,Volume, Open,High, Low,Earnings Call,Earnings Call Next,Sentiment,Sentiment5,Sentiment Next,5 Day Moving Average,10 Day Moving Average,LM_Positve,LM_Negative,LM_Polarity,LM_Subjectivity,GI_Positive,GI_Negative,GI_Polarity,GI_Subjectivity,Flesch,SMOG,Ticker,LPERMNO,LPERMCO,conm,actq,ciq,dd1q,dlttq,dpq,ltq,revtq,capxy,EPS_EST,EPS_ACTUAL,EPS_DIFF,BEAT_EPS,MISS_EPS,EBT_EST,EBT_ACTUAL,EBT_DIFF,BEAT_EBT,MISS_EBT,NET_EST,NET_ACTUAL,NET_DIFF,BEAT_NET,MISS_NET,OPR_EST,OPR_ACTUAL,OPR_DIFF,BEAT_OPR,MISS_OPR,YEAR
10/1/20,1,1,0.01,0.32,24.1,24.09,44782150,24.27,24.41,23.86,0.0,0,0.0,0.0,0,23.756,24.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/30/20,1,0,0.32,-0.32,24.09,23.77,56226100,23.78,24.32,23.77,0.0,0,0.0,0.0,0,23.59,24.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/29/20,0,1,-0.32,0.6,23.77,24.09,45716130,23.98,23.99,23.53,0.0,0,0.0,0.0,0,23.624,24.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/28/20,1,1,0.6,0.15,24.09,23.49,47996900,23.88,24.31,23.79,0.0,0,0.0,0.0,0,23.7,24.56900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/25/20,1,1,0.15,0.08,23.49,23.34,42111340,23.28,23.55,23.13,0.0,0,0.0,0.0,0,24.044,24.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/24/20,1,0,0.08,-0.68,23.34,23.26,53570650,23.38,23.82,22.95,0.0,0,0.0,0.0,0,24.446,24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/23/20,0,0,-0.68,-0.53,23.26,23.94,59950330,24.1,24.26,23.26,0.0,0,0.0,0.0,0,24.914,25.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/22/20,0,0,-0.53,-0.74,23.94,24.47,68665350,24.27,24.6,23.81,0.0,0,0.0,0.0,0,25.182,25.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/21/20,0,0,-0.74,-0.14,24.47,25.21,75218580,24.57,24.78,24.03,0.0,0,0.0,0.0,0,25.438,25.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/18/20,0,0,-0.14,-0.25,25.21,25.35,94055810,25.15,25.58,25.1,0.0,0,0.0,0.0,0,25.496,25.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
