Date,Move,YesterdayMove,Movement,YesterdayMovement,Close,YesterdayClose,Volume, Open,High, Low,Earnings Call,Earnings Call Next,Sentiment,Sentiment5,Sentiment Next,5 Day Moving Average,10 Day Moving Average,LM_Positve,LM_Negative,LM_Polarity,LM_Subjectivity,GI_Positive,GI_Negative,GI_Polarity,GI_Subjectivity,Flesch,SMOG,Ticker,LPERMNO,LPERMCO,conm,actq,ciq,dd1q,dlttq,dpq,ltq,revtq,capxy,EPS_EST,EPS_ACTUAL,EPS_DIFF,BEAT_EPS,MISS_EPS,EBT_EST,EBT_ACTUAL,EBT_DIFF,BEAT_EBT,MISS_EBT,NET_EST,NET_ACTUAL,NET_DIFF,BEAT_NET,MISS_NET,OPR_EST,OPR_ACTUAL,OPR_DIFF,BEAT_OPR,MISS_OPR,YEAR
10/1/20,1,1,4.73,0.11,266.63,261.9,20009800,265.35,268.33,264.8,0.0,0,0.0,0.0,0,256.972,254.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/30/20,1,1,0.11,4.97,261.9,261.79,20142550,261.98,266.09,260.1,0.0,0,0.0,0.0,0,254.396,254.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/29/20,1,1,4.97,2.0,261.79,256.82,20215500,257.81,263.33,256.9,0.0,0,0.0,0.0,0,252.988,255.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/28/20,1,1,2.0,5.29,256.82,254.82,18826250,259.4,259.6,254.82,0.0,0,0.0,0.0,0,251.254,256.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/25/20,1,1,5.29,0.51,254.82,249.53,18351310,249.4,255.75,246.61,0.0,0,0.0,0.0,0,250.796,257.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/24/20,1,0,0.51,-5.73,249.53,249.02,20006750,246.5,252.24,245.62,0.0,0,0.0,0.0,0,251.854,259.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/23/20,0,1,-5.73,6.6,249.02,254.75,19641270,255.26,257.99,248.15,0.0,0,0.0,0.0,0,254.754,262.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/22/20,1,0,6.6,-4.38,254.75,248.15,30293100,253.31,255.32,248.22,0.0,0,0.0,0.0,0,258.288,263.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/21/20,0,0,-4.38,-2.29,248.15,252.53,24709380,247.54,249.95,244.13,0.0,0,0.0,0.0,0,261.888,267.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/18/20,0,0,-2.29,-8.7,252.53,254.82,28130770,258.41,259.2,250.05,0.0,0,0.0,0.0,0,264.704,271.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
