Date,Move,YesterdayMove,Movement,YesterdayMovement,Close,YesterdayClose,Volume, Open,High, Low,Earnings Call,Earnings Call Next,Sentiment,Sentiment5,Sentiment Next,5 Day Moving Average,10 Day Moving Average,LM_Positve,LM_Negative,LM_Polarity,LM_Subjectivity,GI_Positive,GI_Negative,GI_Polarity,GI_Subjectivity,Flesch,SMOG,Ticker,LPERMNO,LPERMCO,conm,actq,ciq,dd1q,dlttq,dpq,ltq,revtq,capxy,EPS_EST,EPS_ACTUAL,EPS_DIFF,BEAT_EPS,MISS_EPS,EBT_EST,EBT_ACTUAL,EBT_DIFF,BEAT_EBT,MISS_EBT,NET_EST,NET_ACTUAL,NET_DIFF,BEAT_NET,MISS_NET,OPR_EST,OPR_ACTUAL,OPR_DIFF,BEAT_OPR,MISS_OPR,YEAR
10/1/20,1,1,0.46,0.59,52.24,51.78,22127580,52.4,52.72,51.99,0.0,0,0.0,0.0,0,50.7,50.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/30/20,1,0,0.59,-0.24,51.78,51.19,27711350,51.24,52.38,51.15,0.0,0,0.0,0.0,0,50.108,50.07899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/29/20,0,1,-0.24,1.49,51.19,51.43,19687450,51.31,51.74,50.95,0.0,0,0.0,0.0,0,49.86,49.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/28/20,1,1,1.49,0.78,51.43,49.94,29652250,50.51,51.46,50.16,0.0,0,0.0,0.0,0,49.518,49.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/25/20,1,1,0.78,0.34,49.94,49.16,26633410,48.96,50.28,48.75,0.0,0,0.0,0.0,0,49.508,49.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/24/20,1,0,0.34,-1.13,49.16,48.82,29343400,48.53,49.64,48.42,0.0,0,0.0,0.0,0,49.74,49.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/23/20,0,1,-1.13,0.23,48.82,49.95,30078800,49.83,50.15,48.66,0.0,0,0.0,0.0,0,50.05,49.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/22/20,1,0,0.23,-0.17,49.95,49.72,22290860,49.89,50.21,49.47,0.0,0,0.0,0.0,0,50.06,49.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/21/20,0,0,-0.17,-0.43,49.72,49.89,27377120,49.39,49.75,48.83,0.0,0,0.0,0.0,0,49.99800000000001,49.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/18/20,0,0,-0.43,-0.05,49.89,50.32,50123500,50.33,50.5,49.04,0.0,0,0.0,0.0,0,49.87600000000001,49.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/17/20,0,1,-0.05,0.37,50.32,50.37,26959930,49.37,50.49,49.3,0.0,0,0.0,0.0,0,49.604,49.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/16/20,1,1,0.37,0.59,50.37,50.0,26555280,50.51,51.03,50.17,0.0,0,0.0,0.0,0,49.45399999999999,49.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/15/20,1,1,0.59,0.13,50.0,49.41,27598260,49.79,50.6,49.73,0.0,0,0.0,0.0,0,49.236,50.06399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/14/20,1,1,0.13,0.32,49.41,49.28,27212490,48.85,49.72,48.85,0.0,0,0.0,0.0,0,49.37,50.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/11/20,1,0,0.32,-0.66,49.28,48.96,29333570,49.26,50.05,48.95,0.0,0,0.0,0.0,0,49.592,50.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTC,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
