Date,Move,YesterdayMove,Movement,YesterdayMovement,Close,YesterdayClose,Volume, Open,High, Low,Earnings Call,Earnings Call Next,Sentiment,Sentiment5,Sentiment Next,5 Day Moving Average,10 Day Moving Average,LM_Positve,LM_Negative,LM_Polarity,LM_Subjectivity,GI_Positive,GI_Negative,GI_Polarity,GI_Subjectivity,Flesch,SMOG,Ticker,LPERMNO,LPERMCO,conm,actq,ciq,dd1q,dlttq,dpq,ltq,revtq,capxy,EPS_EST,EPS_ACTUAL,EPS_DIFF,BEAT_EPS,MISS_EPS,EBT_EST,EBT_ACTUAL,EBT_DIFF,BEAT_EBT,MISS_EBT,NET_EST,NET_ACTUAL,NET_DIFF,BEAT_NET,MISS_NET,OPR_EST,OPR_ACTUAL,OPR_DIFF,BEAT_OPR,MISS_OPR,YEAR
10/1/20,0,1,-0.19,0.45,49.18,49.37,17577260,49.44,49.66,48.59,0.0,0,0.0,0.0,0,48.99800000000001,49.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/30/20,1,0,0.45,-0.36,49.37,48.92,15755900,49.27,49.62,48.89,0.0,0,0.0,0.0,0,48.76600000000001,49.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/29/20,0,1,-0.36,0.56,48.92,49.28,12427770,49.39,49.56,48.91,0.0,0,0.0,0.0,0,48.914,49.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/28/20,1,1,0.56,0.02,49.28,48.72,11215710,49.31,49.71,49.14,0.0,0,0.0,0.0,0,48.87600000000001,49.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/25/20,1,1,0.02,0.49,48.72,48.7,12603380,48.2,48.76,47.98,0.0,0,0.0,0.0,0,49.222,50.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/24/20,1,0,0.49,-1.45,48.7,48.21,16788100,48.21,49.1,47.56,0.0,0,0.0,0.0,0,49.592,50.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/23/20,0,1,-1.45,0.57,48.21,49.66,17121210,49.73,49.92,48.17,0.0,0,0.0,0.0,0,50.108,50.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/22/20,1,0,0.57,-1.36,49.66,49.09,13034620,49.11,50.04,49.07,0.0,0,0.0,0.0,0,50.386,50.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/21/20,0,0,-1.36,-0.1,49.09,50.45,17514770,49.75,50.02,48.61,0.0,0,0.0,0.0,0,50.71,50.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/18/20,0,0,-0.1,-0.24,50.45,50.55,23816600,50.75,51.16,50.21,0.0,0,0.0,0.0,0,50.832,50.56800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
