Date,Move,YesterdayMove,Movement,YesterdayMovement,Close,YesterdayClose,Volume, Open,High, Low,Earnings Call,Earnings Call Next,Sentiment,Sentiment5,Sentiment Next,5 Day Moving Average,10 Day Moving Average,LM_Positve,LM_Negative,LM_Polarity,LM_Subjectivity,GI_Positive,GI_Negative,GI_Polarity,GI_Subjectivity,Flesch,SMOG,Ticker,LPERMNO,LPERMCO,conm,actq,ciq,dd1q,dlttq,dpq,ltq,revtq,capxy,EPS_EST,EPS_ACTUAL,EPS_DIFF,BEAT_EPS,MISS_EPS,EBT_EST,EBT_ACTUAL,EBT_DIFF,BEAT_EBT,MISS_EBT,NET_EST,NET_ACTUAL,NET_DIFF,BEAT_NET,MISS_NET,OPR_EST,OPR_ACTUAL,OPR_DIFF,BEAT_OPR,MISS_OPR,YEAR
10/1/20,1,1,1.84,0.3,119.52,117.68,5316766,119.93,120.21,117.7,0.0,0,0.0,0.0,0,116.044,114.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/30/20,1,0,0.3,-1.09,117.68,117.38,5829731,117.5,119.26,116.92,0.0,0,0.0,0.0,0,114.622,113.898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/29/20,0,1,-1.09,3.97,117.38,118.47,5687851,118.14,119.25,117.2,0.0,0,0.0,0.0,0,113.91,113.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/28/20,1,1,3.97,2.31,118.47,114.5,9043578,115.96,118.74,114.92,0.0,0,0.0,0.0,0,112.6,113.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/25/20,1,1,2.31,1.62,114.5,112.19,11717990,113.55,115.75,111.8,0.0,0,0.0,0.0,0,111.838,113.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/24/20,1,0,1.62,-3.25,112.19,110.57,6848958,109.39,113.29,109.24,0.0,0,0.0,0.0,0,112.376,113.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/23/20,0,1,-3.25,1.9,110.57,113.82,6553322,113.64,113.93,110.07,0.0,0,0.0,0.0,0,113.174,113.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/22/20,1,1,1.9,1.23,113.82,111.92,6911176,112.61,114.25,110.42,0.0,0,0.0,0.0,0,113.726,113.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/21/20,1,0,1.23,-4.19,111.92,110.69,8197611,109.16,112.14,108.3,0.0,0,0.0,0.0,0,114.034,113.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/18/20,0,1,-4.19,0.32,110.69,114.88,15443200,115.04,115.43,109.8,0.0,0,0.0,0.0,0,114.58,114.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/17/20,1,0,0.32,-2.02,114.88,114.56,7418146,111.92,115.7,111.0,0.0,0,0.0,0.0,0,114.092,114.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/16/20,0,1,-2.02,3.12,114.56,116.58,6342106,118.0,118.0,114.54,0.0,0,0.0,0.0,0,113.984,115.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/15/20,1,1,3.12,0.04,116.58,113.46,8773740,114.94,117.81,114.79,0.0,0,0.0,0.0,0,112.622,115.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/14/20,1,1,0.04,0.98,113.46,113.42,5397303,115.24,115.43,112.65,0.0,0,0.0,0.0,0,113.124,116.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/11/20,1,0,0.98,-1.58,113.42,112.44,6740182,113.38,114.85,112.4,0.0,0,0.0,0.0,0,113.726,116.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/10/20,0,1,-1.58,4.25,112.44,114.02,6166312,115.15,115.81,111.57,0.0,0,0.0,0.0,0,115.874,117.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/9/20,1,0,4.25,-6.2,114.02,109.77,9708449,113.48,115.77,112.3,0.0,0,0.0,0.0,0,117.472,117.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/8/20,0,0,-6.2,-0.46,109.77,115.97,10245170,111.94,113.88,109.62,0.0,0,0.0,0.0,0,119.338,117.881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/4/20,0,0,-0.46,-6.75,115.97,116.43,11064280,115.69,117.82,112.38,0.0,0,0.0,0.0,0,119.784,117.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/3/20,0,1,-6.75,1.17,116.43,123.18,13560800,121.3,121.71,115.6,0.0,0,0.0,0.0,0,119.702,117.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/2/20,1,1,1.17,2.91,123.18,122.01,9167699,123.26,123.93,121.81,0.0,0,0.0,0.0,0,118.274,115.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/1/20,1,1,2.91,0.9,122.01,119.1,9101301,121.08,122.57,119.51,0.0,0,0.0,0.0,0,117.062,114.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/31/20,1,1,0.9,2.18,119.1,118.2,9694649,118.33,121.06,118.12,0.0,0,0.0,0.0,0,116.424,114.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/28/20,1,0,2.18,-0.02,118.2,116.02,6280250,116.71,118.26,116.17,0.0,0,0.0,0.0,0,115.384,113.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/27/20,0,1,-0.02,0.09,116.02,116.04,8206185,116.43,118.18,115.35,0.0,0,0.0,0.0,0,114.312,113.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/26/20,1,1,0.09,0.04,116.04,115.95,7487404,116.25,116.55,115.17,0.0,0,0.0,0.0,0,113.312,113.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/25/20,1,1,0.04,2.91,115.95,115.91,6207980,116.11,117.1,114.44,0.0,0,0.0,0.0,0,112.528,112.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/24/20,1,1,2.91,2.34,115.91,113.0,10235000,114.37,116.0,113.27,0.0,0,0.0,0.0,0,111.782,111.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/21/20,1,0,2.34,-0.38,113.0,110.66,8546881,110.23,113.15,109.95,0.0,0,0.0,0.0,0,111.93,111.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/20/20,0,0,-0.38,-0.99,110.66,111.04,7200318,110.0,110.98,109.67,0.0,0,0.0,0.0,0,112.48,111.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/19/20,0,0,-0.99,-0.15,111.04,112.03,7747599,112.33,113.47,110.75,0.0,0,0.0,0.0,0,113.43,111.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/18/20,0,0,-0.15,-1.56,112.03,112.18,6387011,112.91,113.38,111.52,0.0,0,0.0,0.0,0,112.79,111.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/17/20,0,1,-1.56,0.33,112.18,113.74,10282990,113.29,114.49,110.63,0.0,0,0.0,0.0,0,111.626,110.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/14/20,1,0,0.33,-2.38,113.74,113.41,6640963,113.3,114.52,112.57,0.0,0,0.0,0.0,0,110.528,110.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/13/20,0,1,-2.38,6.96,113.41,115.79,9958426,116.2,116.2,112.77,0.0,0,0.0,0.0,0,110.058,109.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/12/20,1,1,6.96,2.47,115.79,108.83,18672310,110.39,116.25,109.65,0.0,0,0.0,0.0,0,109.178,107.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/11/20,1,0,2.47,-1.89,108.83,106.36,17802960,106.2,112.01,104.74,0.0,0,0.0,0.0,0,109.602,105.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/10/20,0,0,-1.89,-2.81,106.36,108.25,10087130,108.6,108.99,105.72,0.0,0,0.0,0.0,0,110.248,104.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/7/20,0,0,-2.81,-0.33,108.25,111.06,11155940,110.01,111.05,106.0,0.0,0,0.0,0.0,0,109.72,102.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/6/20,0,1,-0.33,0.44,111.06,111.39,6392228,111.23,111.36,109.93,0.0,0,0.0,0.0,0,108.946,100.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
8/5/20,1,1,0.44,1.36,111.39,110.95,7970393,111.0,112.46,110.08,0.0,0,0.0,0.0,0,105.274,98.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
