Date,Move,YesterdayMove,Movement,YesterdayMovement,Close,YesterdayClose,Volume, Open,High, Low,Earnings Call,Earnings Call Next,Sentiment,Sentiment5,Sentiment Next,5 Day Moving Average,10 Day Moving Average,LM_Positve,LM_Negative,LM_Polarity,LM_Subjectivity,GI_Positive,GI_Negative,GI_Polarity,GI_Subjectivity,Flesch,SMOG,Ticker,LPERMNO,LPERMCO,conm,actq,ciq,dd1q,dlttq,dpq,ltq,revtq,capxy,EPS_EST,EPS_ACTUAL,EPS_DIFF,BEAT_EPS,MISS_EPS,EBT_EST,EBT_ACTUAL,EBT_DIFF,BEAT_EBT,MISS_EBT,NET_EST,NET_ACTUAL,NET_DIFF,BEAT_NET,MISS_NET,OPR_EST,OPR_ACTUAL,OPR_DIFF,BEAT_OPR,MISS_OPR,YEAR
10/1/20,1,1,19.15,9.94,448.16,429.01,50741450,440.76,448.88,434.42,0.0,0,0.0,0.0,0,412.882,418.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TSLA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/30/20,1,0,9.94,-2.13,429.01,419.07,48145570,421.32,433.93,420.47,0.0,0,0.0,0.0,0,403.152,419.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TSLA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/29/20,0,1,-2.13,13.86,419.07,421.2,50341400,416.0,428.5,411.6,0.0,0,0.0,0.0,0,404.184,422.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TSLA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/28/20,1,1,13.86,19.55,421.2,407.34,49719560,424.62,428.08,415.55,0.0,0,0.0,0.0,0,409.822,422.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TSLA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/25/20,1,1,19.55,7.43,407.34,387.79,67208460,393.47,408.73,391.3,0.0,0,0.0,0.0,0,416.784,419.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TSLA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/24/20,1,0,7.43,-43.87,387.79,380.36,96561060,363.8,399.5,351.3,0.0,0,0.0,0.0,0,423.912,417.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TSLA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/23/20,0,0,-43.87,-25.16,380.36,424.23,95074180,405.16,412.15,375.88,0.0,0,0.0,0.0,0,436.192,416.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TSLA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/22/20,0,1,-25.16,7.24,424.23,449.39,79580800,429.6,437.76,417.6,0.0,0,0.0,0.0,0,441.298,406.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TSLA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/21/20,1,1,7.24,18.72,449.39,442.15,109476800,453.13,455.68,407.07,0.0,0,0.0,0.0,0,435.344,403.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TSLA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
9/18/20,1,0,18.72,-18.33,442.15,423.43,86406820,447.94,451.0,428.8,0.0,0,0.0,0.0,0,421.458,400.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TSLA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
