Date,Move,YesterdayMove,Movement,YesterdayMovement,Close,YesterdayClose,Volume, Open,High, Low,Earnings Call,Earnings Call Next,Sentiment,Sentiment5,Sentiment Next,5 Day Moving Average,10 Day Moving Average,LM_Positve,LM_Negative,LM_Polarity,LM_Subjectivity,GI_Positive,GI_Negative,GI_Polarity,GI_Subjectivity,Flesch,SMOG,Ticker,LPERMNO,LPERMCO,conm,actq,ciq,dd1q,dlttq,dpq,ltq,revtq,capxy,EPS_EST,EPS_ACTUAL,EPS_DIFF,BEAT_EPS,MISS_EPS,EBT_EST,EBT_ACTUAL,EBT_DIFF,BEAT_EBT,MISS_EBT,NET_EST,NET_ACTUAL,NET_DIFF,BEAT_NET,MISS_NET,OPR_EST,OPR_ACTUAL,OPR_DIFF,BEAT_OPR,MISS_OPR,YEAR
10/1/20,1,1,3.17,2.77,143.08,139.91,14430330,140.8,144.38,140.26,0,0,0,0,0,137.654,137.162,0,0,0,0,0,0,0,0,0,0,WMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/30/20,1,0,2.77,-0.11,139.91,137.14,11608820,137.39,141.74,137.2,0,0,0,0,0,136.87,136.797,0,0,0,0,0,0,0,0,0,0,WMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/29/20,0,0,-0.11,-0.02,137.14,137.25,9240908,137.25,138.14,136.39,0,0,0,0,0,137.104,136.819,0,0,0,0,0,0,0,0,0,0,WMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/28/20,0,1,-0.02,0.57,137.25,137.27,7065659,137.16,138.05,136.72,0,0,0,0,0,137.068,136.826,0,0,0,0,0,0,0,0,0,0,WMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/25/20,1,1,0.57,0.71,137.27,136.7,7539596,136.52,137.54,135.96,0,0,0,0,0,136.672,136.769,0,0,0,0,0,0,0,0,0,0,WMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/24/20,1,0,0.71,-2.32,136.7,135.99,9817694,135.73,137.8,135.07,0,0,0,0,0,136.67,136.78,0,0,0,0,0,0,0,0,0,0,WMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/23/20,0,1,-2.32,1.24,135.99,138.31,7711108,139,139.24,135.82,0,0,0,0,0,136.724,137.17,0,0,0,0,0,0,0,0,0,0,WMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/22/20,1,1,1.24,1.78,138.31,137.07,11034020,137.07,138.99,136.57,0,0,0,0,0,136.534,137.184,0,0,0,0,0,0,0,0,0,0,WMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/21/20,1,0,1.78,-1.4,137.07,135.29,15758500,136.5,137.24,135.29,0,0,0,0,0,136.584,137.76,0,0,0,0,0,0,0,0,0,0,WMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/18/20,0,1,-1.4,0.43,135.29,136.69,18236350,136.44,137.53,134.75,0,0,0,0,0,136.866,138.685,0,0,0,0,0,0,0,0,0,0,WMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
